Date,Home-team,Goals,Away-team
21-04-2024,LA Galaxy,4 - 3,SJ Earthquakes
26-04-2024,Austin,2 - 0,LA Galaxy
04-05-2024,Seattle Sounders FC,0 - 0,LA Galaxy
11-05-2024,LA Galaxy,2 - 2,Real Salt Lake
15-05-2024,Minnesota United,2 - 2,LA Galaxy
17-05-2024,Charlotte,0 - 0,LA Galaxy
25-05-2024,LA Galaxy,2 - 1,Houston Dynamo
29-05-2024,LA Galaxy,3 - 1,Dallas
01-06-2024,Chicago Fire,2 - 1,LA Galaxy
15-06-2024,LA Galaxy,4 - 2,Sporting KC
19-06-2024,LA Galaxy,2 - 0,New York City
22-06-2024,Real Salt Lake,0 - 1,LA Galaxy
29-06-2024,SJ Earthquakes,0 - 3,LA Galaxy
04-07-2024,LA Galaxy,1 - 2,Los Angeles FC
07-07-2024,LA Galaxy,2 - 1,Minnesota United
13-07-2024,Dallas,2 - 0,LA Galaxy
17-07-2024,LA Galaxy,3 - 2,Colorado Rapids
20-07-2024,LA Galaxy,3 - 2,Portland Timbers
24-08-2024,LA Galaxy,2 - 0,Atlanta United
31-08-2024,Saint Louis City,2 - 1,LA Galaxy
14-09-2024,LA Galaxy,4 - 2,Los Angeles FC
18-09-2024,Portland Timbers,4 - 2,LA Galaxy
21-09-2024,LA Galaxy,4 - 2,Vancouver Whitecaps
02-10-2024,Colorado Rapids,1 - 3,LA Galaxy
05-10-2024,LA Galaxy,2 - 1,Austin
19-10-2024,Houston Dynamo,2 - 1,LA Galaxy
26-10-2024,LA Galaxy,5 - 0,Colorado Rapids
01-11-2024,Colorado Rapids,1 - 4,LA Galaxy
23-11-2024,LA Galaxy,6 - 2,Minnesota United
30-11-2024,LA Galaxy,1 - 0,Seattle Sounders FC
06-12-2024,LA Galaxy,2 - 1,New York RB
23-02-2024,Los Angeles FC,2 - 1,Seattle Sounders FC
01-03-2024,Real Salt Lake,3 - 0,Los Angeles FC
09-03-2024,Los Angeles FC,0 - 0,Sporting KC
16-03-2024,Minnesota United,2 - 0,Los Angeles FC
23-03-2024,Los Angeles FC,5 - 0,Nashville SC (MLS)
29-03-2024,Colorado Rapids,3 - 2,Los Angeles FC
05-04-2024,Los Angeles FC,2 - 1,LA Galaxy
12-04-2024,Portland Timbers,2 - 2,Los Angeles FC
20-04-2024,Los Angeles FC,2 - 2,New York RB
27-04-2024,Los Angeles FC,3 - 2,Portland Timbers
03-05-2024,SJ Earthquakes,3 - 1,Los Angeles FC
11-05-2024,Los Angeles FC,3 - 0,Vancouver Whitecaps
15-05-2024,Saint Louis City,0 - 2,Los Angeles FC
24-05-2024,Atlanta United,0 - 1,Los Angeles FC
29-05-2024,Los Angeles FC,2 - 0,Minnesota United
01-06-2024,Los Angeles FC,1 - 0,Dallas
14-06-2024,Orlando City SC,1 - 3,Los Angeles FC
19-06-2024,Austin,1 - 1,Los Angeles FC
22-06-2024,Los Angeles FC,6 - 2,SJ Earthquakes
29-06-2024,Los Angeles FC,3 - 0,Colorado Rapids
04-07-2024,LA Galaxy,1 - 2,Los Angeles FC
13-07-2024,Los Angeles FC,1 - 5,Columbus Crew
17-07-2024,Los Angeles FC,1 - 1,Real Salt Lake
20-07-2024,Seattle Sounders FC,0 - 3,Los Angeles FC
31-08-2024,Los Angeles FC,0 - 2,Houston Dynamo
07-09-2024,Houston Dynamo,0 - 0,Los Angeles FC
14-09-2024,LA Galaxy,4 - 2,Los Angeles FC
18-09-2024,Los Angeles FC,1 - 1,Austin
21-09-2024,Dallas,3 - 1,Los Angeles FC
27-09-2024,Cincinnati,1 - 2,Los Angeles FC
02-10-2024,Los Angeles FC,1 - 0,Saint Louis City
05-10-2024,Sporting KC,0 - 3,Los Angeles FC
12-10-2024,Vancouver Whitecaps,1 - 2,Los Angeles FC
19-10-2024,Los Angeles FC,3 - 1,SJ Earthquakes
27-10-2024,Los Angeles FC,2 - 1,Vancouver Whitecaps
03-11-2024,Vancouver Whitecaps,3 - 0,Los Angeles FC
08-11-2024,Los Angeles FC,1 - 0,Vancouver Whitecaps
23-11-2024,Los Angeles FC,1 - 1,Seattle Sounders FC
24-02-2024,Austin,1 - 2,Minnesota United
01-03-2024,Minnesota United,1 - 1,Columbus Crew
09-03-2024,Orlando City SC,2 - 3,Minnesota United
16-03-2024,Minnesota United,2 - 0,Los Angeles FC
29-03-2024,Philadelphia Union,2 - 0,Minnesota United
06-04-2024,Minnesota United,1 - 1,Real Salt Lake
13-04-2024,Minnesota United,1 - 2,Houston Dynamo
20-04-2024,Charlotte,0 - 3,Minnesota United
27-04-2024,Minnesota United,2 - 1,Sporting KC
03-05-2024,Atlanta United,1 - 2,Minnesota United
15-05-2024,Minnesota United,2 - 2,LA Galaxy
18-05-2024,Minnesota United,2 - 1,Portland Timbers
25-05-2024,Colorado Rapids,3 - 3,Minnesota United
29-05-2024,Los Angeles FC,2 - 0,Minnesota United
01-06-2024,Minnesota United,3 - 1,Sporting KC
08-06-2024,Minnesota United,1 - 1,Dallas
